prompt_name,keywords,prompt_content,prompt_source,language,task_type,Goal,Theme,career
compress <premise> <entailment>,Compress sentence,Compress: {{graph.sentence}},promptsource,English,graph compression,Writing/Expression,compression,all
sentences relation score,Sentence similarity,"How related are the following sentences?
Give a score on a scale of 1 to 5.

{{sentence_A}}

{{sentence_B}}",promptsource,English,sentence similarity,Informational/Identification,semantic similarity,all
B entails netural contradict A?,NLI,"Does sentence B entail, contradict, or is neutral with respect to sentence A?

Sentence A: {{sentence_A}}

Sentence B: {{sentence_B}}",promptsource,English,entailment,Informational/Identification,entailment,all
A entails neutral contradict B?,NLI,"Does sentence A entail, contradict, or is neutral with respect to sentence B?

Sentence A: {{sentence_A}}

Sentence B: {{sentence_B}}",promptsource,English,entailment,Informational/Identification,entailment,all
B entails A?,Entailment,"Does the sentence, ""{{sentence_B}}"", entail the sentence, ""{{sentence_A}}"" ?",promptsource,English,entailment,Reasoning/Entailment,entailment,all
A entails B?,Entailment,"Does the sentence, ""{{sentence_A}}"", entail the sentence, ""{{sentence_B}}"" ?",promptsource,English,entailment,Reasoning/Entailment,entailment,all
ham True False,Spam or ham,"Is this sms message considered {{""ham""}} (i.e. not spam)?
{{sms}}",promptsource,English,closed-ended question,Informational/Identification,spam,all
is the label,Spam or ham,"Is the label for the following sms message {{""ham""}} (not spam) or {{""spam""}}? {{sms}}",promptsource,English,closed-ended question,Informational/Identification,spam,all
marked as,SMS spam or not,"The following sms message should be marked as ""spam"" or ""not spam""? {{sms}}",promptsource,English,closed-ended question,Informational/Identification,spam detection,all
spam True False,Spam or ham,"Is this sms message considered {{""spam""}}?
{{sms}}",promptsource,English,closed-ended question,Informational/Identification,spam,all
query options or,Categorize a query,"""{{text}}""

Is the best category for the query above answer_choices[0]? Or is it answer_choices[1]? Other category options include {{answer_choices[2]}}, {{answer_choices[3]}}, {{answer_choices[4]}}, {{answer_choices[5]}}, {{answer_choices[6]}}, {{answer_choices[7]}}, {{answer_choices[8]}} and {{answer_choices[9]}}. What is the best answer?",promptsource,English,closed-ended question,Informational/Identification,classification,all
I was wondering,Ask a question,"I heard that {{context}}

And I was wondering {{question}}",promptsource,English,open-ended question,Informational/Identification,general,all
Check if a random answer is valid or not,QA valid answer,"{{context}}

Given the question ""{{question}}"", is ""{{answers[random_answer_id]}}"" a valid answer?",promptsource,English,closed-ended question,Informational/Identification,reading comprehension,all
Generate the question from the answer,Question from answer,"{{context}}

Given that the answer to a question is ""{{{""1"": answerA, ""2"": answerB, ""3"": answerC}[label]}}"", what is the question?",promptsource,English,reading comprehension,Writing/Expression,reading comprehension,all
Generate answer,Context question,"{{context}}

Given the context: {{question}}",promptsource,English,reading comprehension,Writing/Expression,reading comprehension,all
Show choices and generate index,QA context,"Context: {{context}}

Question: {{question}}

Which one of these answers best answers the question according to the context?

A: {{answerA}}

B: {{answerB}}

C: {{answerC}}",promptsource,English,reading comprehension,Informational/Identification,reading comprehension,all
answer question given context,SQuAD translate,"Refer to the passage below and answer the following question:

Passage: {{context}}

Question: {{question}}",promptsource,English,reading comprehension,Informational/Identification,reading comprehension,all
given context generate question,Generate a question,"{{context}}

Generate a question from the above passage :",promptsource,English,question generation,Writing/Expression,question generation,all
jeopardy,Question from passage,"{{context}}

From the above passage, a reasonable question with ""{{answers[""text""][0]}}"" as the answer would be:",promptsource,English,writing question,Reasoning/Inference,reading comprehension,all
answer the question,Context based question,"{{context}}

With reference to the above context, {{question}}",promptsource,English,reading comprehension,Informational/Identification,reading comprehension,all
answer given context and question,Reading Comprehension,"{{context}}

Q: {{question}}

Referring to the passage above, the correct answer to the given question is",promptsource,English,reading comprehension,Informational/Identification,reading comprehension,all
exam creation help,Create a question,"I'm creating a final exam for my reading class. Can you please come up with a good question to quiz how well students have read the following text snippet?

{{context}}",promptsource,English,writing question,Writing/Expression,reading comprehension,education
after,Reading Comprehension,"After reading the following paragraph, please answer this question: {{question}}

{{context}}",promptsource,English,reading comprehension,Informational/Identification,reading comprehension,all
exam,Find the answer,"I'm working on the final exam for my class and am trying to figure out the answer to the question ""{{question}}"" I found the following info on Amazon and I think it has the answer. Can you tell me the answer?

{{context}}",promptsource,English,reading comprehension,Informational/Identification,reading comprehension,education
generate question,Reading comprehension,"Please come up with a good question to test reading comprehension about the following paragraph:

{{context}}",promptsource,English,writing question,Writing/Expression,reading comprehension,education
wondered,Answer a question,"I've always wondered: {{question}}

I searched Amazon and this is what I found. What's the answer?

{{context}}",promptsource,English,reading comprehension,Informational/Identification,reading comprehension,retail
pick one answer,Reading Comprehension,"{{context}}

With the help of the passage, please answer the following question:
{{question}}",promptsource,English,reading comprehension,Informational/Identification,reading comprehension,all
wondered,Question Answering,"I've always wondered: {{question}}

I searched Wikipedia and this is what I found. What's the answer?

{{context}}",promptsource,English,reading comprehension,Informational/Identification,reading comprehension,all
title,Generate a title,"Generate a title for the following short passage:

{{context}}",promptsource,English,writing title,Writing/Expression,title generation,news
exam,Find the answer,"I'm working on the final exam for my class and am trying to figure out the answer to the question ""{{question}}"" I found the following info on Wikipedia and I think it has the answer. Can you tell me the answer?

{{context}}",promptsource,English,reading comprehension,Informational/Identification,reading comprehension,education
wondered,NYT search,"I've always wondered: {{question}}

I searched New York Times and this is what I found. What's the answer?

{{context}}",promptsource,English,reading comprehension,Informational/Identification,reading comprehension,all
exam,Answer a question,"I'm working on the final exam for my class and am trying to figure out the answer to the question ""{{question}}"" I found the following info on New York Times and I think it has the answer. Can you tell me the answer?

{{context}}",promptsource,English,reading comprehension,Informational/Identification,reading comprehension,education
Jeopardy with Context,Question generation,"Determine the question that you might have asked to get back the following answer for the given context
Context: {{context}};
Answer: {{answers.text[0]}};
Question:",promptsource,English,question generation,Writing/Expression,reading comprehension,all
Jeopardy without Context,Question from answer,"What is a question that would give the following answer?
Answer: {{answers.text[0]}};
Question:",promptsource,English,question generation,Writing/Expression,question answering,all
Unanwerable question,Question answerability,"Context: {{context}};

Question: {{question}}

Is this question answerable?",promptsource,English,closed-ended question,Informational/Identification,question answering,all
Topic Prediction   Context,Text to topic,"What is the following passage about?
{{context}}",promptsource,English,reading comprehension,Informational/Identification,reading comprehension,all
sentiment watch movie,Sentiment analysis,"Does the movie review below make someone want to watch it?

{{sentence}}",promptsource,English,closed-ended question,Informational/Identification,movie review,entertainment
sentiment scoring scale,Sentiment analysis,"How positive is the movie review below?
Give a score on a scale from 0 to 1.

{{sentence}}",promptsource,English,closed-ended question,Informational/Identification,sentiment analysis,all
sentiment watch scale,Movie review score,"How much does the movie review below make you want to watch it?
Give a score on a scale from 0 to 1.

{{sentence}}",promptsource,English,rating,Rating/Evaluation,movie review,entertainment
did reviewer like,Sentiment analysis,"Does it seem like the reviewer who wrote this review liked the movie?

{{sentence}}",promptsource,English,reading comprehension,Informational/Identification,sentiment analysis,entertainment
sentiment classification,Sentiment analysis,"Is the movie review below positive?

{{sentence}}",promptsource,English,closed-ended question,Informational/Identification,sentiment analysis,movie
Generate Ending,GPT2 generate ending,Generate a possible ending for the following story: {{input_sentence_1}} {{input_sentence_2}} {{input_sentence_3}} {{input_sentence_4}},promptsource,English,writing report,Writing/Expression,story generation,creative
Similarity how,Similarity score,"How similar are ""{{sentence1}}"" and ""{{sentence2}}""? Give a score between {{""0.0""}} and {{""5.0""}}.",promptsource,English,similarity,Evaluation/Comparison,similarity,all
Similarity scale,Similarity score,"On a scale from {{""0.0""}} to {{""5.0""}}, how similar are ""{{sentence1}}"" and ""{{sentence2}}""?",promptsource,English,similarity,Informational/Identification,similarity,all
Similarity rate,Similarity rating,"Rate the similarity of these two sentences: ({{""0.0""}} being the lowest and {{""5.0""}} the highest)
""{{sentence1}}"" and ""{{sentence2}}""",promptsource,English,similarity rating,Rating/Evaluation,similarity,all
answer q with context first,Context question,"Context:
{{context}}

Answer the following question with extracts from the context: {{question}}",promptsource,English,reading comprehension,Writing/Expression,reading comprehension,all
domain hint og task,Answer a question,"{{question}}

Answer using extracts from the following context. If you can't find an answer, return {{""Unanswerable""}}

Context:
{{context}}

Hint: The context domain is {{domain}}",promptsource,English,reading comprehension,Informational/Identification,reading comprehension,all
exam style prompt,QA with context,"In today's exam on {{domain}}, answer the following question with the help of the context. If the question cannot be answered, say Unanswerable.

Question:
{{question}}

Context:
{{context}}",promptsource,English,reading comprehension,Informational/Identification,reading comprehension,education
exam style without hint,Question Answering,"To get full credit in today's test,  answer the following question with the help of the context. If the question cannot be answered, say Unanswerable.

Question:
{{question}}

Context:
{{context}}",promptsource,English,reading comprehension,Informational/Identification,reading comprehension,education
answer q with context after,Answer using context,"{{question}}

Answer using extracts from the following context. If you can't find an answer, return {{""Unanswerable""}}

Context:
{{context}}",promptsource,English,reading comprehension,Informational/Identification,reading comprehension,all
q subj score,Subjectivity of question,"Question:
{{question}}

On a scale of 1 to 5 (1 being the most subjective), how subjective is the question?",promptsource,English,closed-ended question,Subjectivity,subjectivity,all
q subj score with context,Subjectivity rating,"Context:
{{context}}

Question:
{{question}}

How would you rate the subjectivity of the question (on a 1 to 5 scale with 1 being the most subjective)?",promptsource,English,rating,Subjectivity/Rating,subjectivity,all
domain q after context,Context to domain,"Context:
{{context}}

Which of {{""books, electronics, grocery, movies, restaurants or tripadvisor""}} corresponds to the context?",promptsource,English,closed-ended question,Informational/Identification,shopping,all
should assume,Assumptions,"Given {{sentence1}} Should we assume that ""{{sentence2}}"" is true? Yes or no?",promptsource,English,reading comprehension,Reasoning/Inference,logic,all
justified in saying,Justify a statement,"{{sentence1}} Are we justified in saying that ""{{sentence2}}""? Yes or no?",promptsource,English,closed-ended question,Informational/Identification,philosophy,all
does it follow that,Logic inference,Given that {{sentence1}} Does it follow that {{sentence2}} Yes or no?,promptsource,English,closed-ended question,Reasoning/Inference,logic,all
MNLI crowdsource,Is it true,"{{sentence1}} Using only the above description and what you know about the world, is ""{{sentence2}}"" definitely correct? Yes or no?",promptsource,English,closed-ended question,Reasoning/Evaluation,world knowledge,all
guaranteed true,Logic inference,"Given {{sentence1}} Is it guaranteed true that ""{{sentence2}}""? Yes or no?",promptsource,English,closed-ended question,Reasoning/Inference,logic,programming
can we infer,Infer from sentence,"Suppose {{sentence1}} Can we infer that ""{{sentence2}}""? Yes or no?",promptsource,English,closed-ended question,Reasoning/Inference,inference,all
does this imply,Implication,"{{sentence1}}

Question: Does this imply that ""{{sentence2}}""? Yes or no?",promptsource,English,reading comprehension,Informational/Identification,entailment,all
must be true,Logic inference,"Given that {{sentence1}} Therefore, it must be true that ""{{sentence2}}""? Yes or no?",promptsource,English,closed-ended question,Reasoning/Inference,logic,all
based on the previous passage,True or false,"{{sentence1}} Based on the previous passage, is it true that ""{{sentence2}}""? Yes or no?",promptsource,English,reading comprehension,Informational/Identification,reading comprehension,all
GPT 3 style,True or False,"{{sentence1}}
Question: {{sentence2}} True or False?",promptsource,English,reading comprehension,Informational/Identification,true or false,all
after reading,Passage question,"Passage: {{passage}}

After reading this passage, I have a question: {{question}}? True or False?",promptsource,English,reading comprehension,Informational/Identification,reading comprehension,all
I wonder…,Question from passage,"{{ passage }}

Having read that, I wonder {{ question }}?",promptsource,English,reading comprehension,Informational/Identification,reading comprehension,all
yes no question,Yes or no question,"Text: {{passage}}

Answer the following yes/no question: {{question}}? Yes or no?",promptsource,English,reading comprehension,Informational/Identification,reading comprehension,all
could you tell me…,Reading Comprehension,"{{ passage }}

Having read that, could you tell me {{ question }}?",promptsource,English,reading comprehension,Informational/Identification,reading comprehension,all
exam,EXAM,"EXAM
1. Answer by yes or no.

Document: {{passage}}
Question: {{question}}?",promptsource,English,reading comprehension,Informational/Identification,exam,all
based on the following passage,Reading Comprehension,"Based on the following passage, {{ question }}? {{ passage }}",promptsource,English,reading comprehension,Informational/Identification,reading comprehension,all
exercise,True or False,"Exercise: read the text and answer the question by True or False.

Text: {{passage}}
Question: {{question}}?",promptsource,English,reading comprehension,Informational/Identification,reading comprehension,all
based on the previous passage,Reading Comprehension,"{{ passage }}
Based on the previous passage, {{ question }}?",promptsource,English,reading comprehension,Informational/Identification,reading comprehension,all
exercise,Logic exercise,"Exercise: choose the most plausible alternative.

{{ premise }}  because...  so...
- {{choice1}}
- {{choice2}}",promptsource,English,multiple choice,Reasoning/Inference,reasoning,all
"…What could happen next, C1 or C2?",What could happen next,"{{ premise }} What could happen next, ""{{ answer_choices[0] }}"" or ""{{ answer_choices[1] }}""?",promptsource,English,reading comprehension,Reasoning/Prediction,story,all
i am hesitating,Cause Effect Inference,"{{ premise }}

I am hesitating between two options. Help me choose the more likely  cause:  effect:
- {{choice1}}
- {{choice2}}",promptsource,English,multiple choice,Reasoning/Inference,cause and effect,all
plausible alternatives,Causal reasoning,"{{ premise }}  This happened because...  As a consequence...
Help me pick the more plausible option:
- {{choice1}}
- {{choice2}}",promptsource,English,multiple choice,Reasoning/Inference,causal reasoning,all
"C1 or C2? premise, so/because…",Choose between two options,"""{{ answer_choices[0] }}"" or ""{{ answer_choices[1] }}""? {{ premise }}  because  so",promptsource,English,reading comprehension,Reasoning/Justification,opinion,all
"…As a result, C1 or C2?",Cause and effect,"{{ premise }} As a result, ""{{ answer_choices[0] }}"" or ""{{ answer_choices[1] }}""?",promptsource,English,reading comprehension,Informational/Identification,reasoning,all
best option,Cause Effect,"{{ premise }}

What's the best option?
- {{choice1}}
- {{choice2}}

We are looking for  a cause  an effect",promptsource,English,multiple choice,Informational/Identification,cause and effect,all
…which may be caused by,Cause and effect,"{{ premise }} Which may be caused by ""{{ answer_choices[0] }}"" or ""{{ answer_choices[1] }}""?",promptsource,English,multiple choice,Informational/Identification,science,medical
more likely,Choose the more likely continuation,"Pick the more likely continuation to the following sentence:
{{ premise }}  as a result of:  as a consequence:
- {{choice1}}
- {{choice2}}",promptsource,English,multiple choice,Reasoning/Inference,causal reasoning,all
cause effect,Cause Effect,"{{ premise }}

Select the most plausible  cause:  effect:
- {{choice1}}
- {{choice2}}",promptsource,English,multiple choice,Reasoning/Inference,cause and effect,all
…why? C1 or C2,Why or why not,"{{ premise }} Why? ""{{ answer_choices[0] }}"" or ""{{ answer_choices[1] }}""?",promptsource,English,reading comprehension,Reasoning/Justification,why,all
choose,Choose between,"{{ premise }}  because...  so...
Choose between:
- {{choice1}}
- {{choice2}}",promptsource,English,multiple choice,Reasoning/Justification,reasoning,all
found this answer,Find answer to question,"{{paragraph}}

Question: {{question}}
I found this answer ""{{answer}}"". Is that correct? Yes or no?",promptsource,English,reading comprehension,Informational/Identification,reading comprehension,all
is… a correct answer?,Reading Comprehension,"{{ paragraph }}
Based on the previous passage, {{ question }}
Is ""{{ answer }}"" a correct answer?",promptsource,English,reading comprehension,Informational/Identification,reading comprehension,all
grading,Grading exercises,"{{paragraph}}
Question: {{question}}

I am grading my students' exercises. Is the answer ""{{answer}}"" correct?",promptsource,English,closed-ended question,Informational/Identification,education,education
Would it be good to answer…,Question answer pair,"{{ paragraph }}
{{ question }}
Would it be good to answer ""{{ answer }}""?",promptsource,English,reading comprehension,Informational/Identification,reading comprehension,all
paragraph… question… is it… ?,True or False,"{{ paragraph }}
Question: {{ question }}
Is it {{ answer }}?",promptsource,English,reading comprehension,Informational/Identification,reading comprehension,all
decide valid,Yes or no,"{{paragraph}}

Decide whether ""{{answer}}"" is a valid answer to the following question: {{question}}
Answer yes or no.",promptsource,English,reading comprehension,Informational/Identification,reading comprehension,all
is the correct answer…,True or False,"{{ paragraph }}
Question: {{ question }}
Is the correct answer {{ answer }}?",promptsource,English,reading comprehension,Informational/Identification,reading comprehension,all
correct,Question Answering,"Is ""{{answer}}"" a correct answer to the following question?
Question: {{question}}

Rely on the following text: {{paragraph}}",promptsource,English,reading comprehension,Informational/Identification,reading comprehension,all
confirm,Confirm answer,"{{paragraph}}

Question: {{question}}
I think ""{{answer}}"" is a valid answer. Could you confirm? Yes or no?",promptsource,English,reading comprehension,Informational/Identification,reading comprehension,all
I was going to say…,Confirm answer,"{{ paragraph }}
{{ question }}
I was going to say ""{{ answer }}"". Does that sound right?",promptsource,English,reading comprehension,Informational/Identification,reading comprehension,all
corrupted,Document corrupted,"The following document has been corrupted. Tell me what ""{{""@placeholder""}}"" is referring to.

Document: {{ passage }}
{{ query }}",promptsource,English,reading comprehension,Informational/Identification,reading comprehension,all
"In the question above, the placeholder stands for",placeholder,"{{ passage }}
{{ query }}
In the question above, the ""{{""@placeholder""}}"" stands for",promptsource,English,reading comprehension,Informational/Identification,cloze,all
the placeholder refers to…,Placeholder in SQL,"{{ passage }}
{{ query }}
Here, the placeholder refers to",promptsource,English,reading comprehension,Informational/Identification,reading comprehension,all
exercise,Extract entity,"Exercise: Extract from the text the correct entity that ""{{""@placeholder""}}"" is referring to.

{{ passage }}
{{ query }}",promptsource,English,reading comprehension,Informational/Identification,entity extraction,all
Can you figure out…,Placeholder,"{{ passage }}
{{ query }}
Can you figure out what does the ""{{""@placeholder""}}"" mean? It means",promptsource,English,reading comprehension,Informational/Identification,reading comprehension,programming
question context meaning with label,Word meaning,"Does the word ""{{word}}"" have the same meaning in these two sentences? Yes, No?
{{sentence1}}
{{sentence2}}",promptsource,English,closed-ended question,Informational/Identification,word meaning,all
question context meaning,Word meaning,"Does the word ""{{word}}"" have the same meaning in these two sentences?
{{sentence1}}
{{sentence2}}",promptsource,English,closed-ended question,Informational/Identification,word meaning,all
grammar homework,Word meaning,"Homework

Decide whether the word ""{{word}}"" is used with the same meaning in the two following sentences. Answer by yes or no.
{{sentence1}}
{{sentence2}}",promptsource,English,closed-ended question,Informational/Identification,word sense disambiguation,education
affirmation true or false,Word similarity,"Sentence A: {{sentence1}}
Sentence B: {{sentence2}}

""{{word}}"" has a similar meaning in sentences A and B. True or False?",promptsource,English,closed-ended question,Informational/Identification,word meaning,all
GPT 3 prompt,Word sense disambiguation,"{{sentence1}}
{{sentence2}}
Question: Is the word '{{word}}' used in the same sense in the two sentences above?",promptsource,English,reading comprehension,Informational/Identification,word sense disambiguation,all
same sense,Word sense disambiguation,"Sentence 1: {{sentence1}}
Sentence 2: {{sentence2}}

Determine whether the word ""{{word}}"" is used in the same sense in both sentences. Yes or no?",promptsource,English,closed-ended question,Informational/Identification,word sense disambiguation,all
question context,Word usage,"Determine if the word '{{word}}' is used in the same way in the two sentences below.
{{sentence1}}
{{sentence2}}",promptsource,English,reading comprehension,Informational/Identification,word sense disambiguation,all
GPT 3 prompt with label,Word sense disambiguation,"{{sentence1}}
{{sentence2}}
Question: Is the word '{{word}}' used in the same sense in the two sentences above? Yes, No?",promptsource,English,reading comprehension,Informational/Identification,word sense disambiguation,all
polysemous,Word sense disambiguation,"The word ""{{word}}"" has multiple meanings. Does it have the same meaning in sentences 1 and 2? Yes or no?

Sentence 1: {{sentence1}}
Sentence 2: {{sentence2}}",promptsource,English,closed-ended question,Informational/Identification,word sense disambiguation,all
similar sense,Word similarity,"{{sentence1}}
{{sentence2}}
Similar sense of {{word}}?",promptsource,English,similarity,Informational/Identification,word sense disambiguation,all
does the pronoun refer to,Coreference resolution,"{{ text }} In the previous sentence, does the pronoun ""{{ span2_text.lower() }}"" refer to {{ span1_text }}? Yes or no?",promptsource,English,reading comprehension,Informational/Identification,pronoun resolution,all
by p they mean,Text to command,"{{ text }} Here, by ""{{ span2_text }}"" they mean ""{{ span1_text }}"". Yes or no?",promptsource,English,reading comprehension,Informational/Identification,paraphrase,all
does p stand for,Yes or no,"{{ text }} Here, does ""{{ span2_text.lower() }}"" stand for {{ span1_text }}? Yes or no?",promptsource,English,reading comprehension,Informational/Identification,reading comprehension,all
GPT 3 Style,Coreference resolution,"Passage: {{ text }}

Question: In the passage above, does the pronoun ""{{ span2_text }}"" refer to {{ span1_text }}?

Answer:",promptsource,English,reading comprehension,Informational/Identification,pronoun resolution,all
replaced with,Coreference resolution,"{{ text }} In the previous sentence, can the pronoun ""{{ span2_text }}"" be replaced with ""{{ span1_text }}""? Yes or no?",promptsource,English,closed-ended question,Informational/Identification,pronoun resolution,all
p is/are r,True or false,"Context: {{ text }}


Question: ""{{ span2_text }}"" are {{ span1_text }}. True or false?

Question: ""{{ span2_text }}"" is {{ span1_text }}. True or false?


Answer:",promptsource,English,reading comprehension,Informational/Identification,reading comprehension,all
the pronoun refers to,Pronoun resolution,"{{ text }}
In the passage above, the pronoun ""{{ span2_text }}"" refers to {{ span1_text }}. True or false?",promptsource,English,reading comprehension,Informational/Identification,pronoun resolution,all
Who or what is/are,Question Answer Pairs,"{{ text }}

Question: Who or what are ""{{ span2_text.lower() }}""? {{ span1_text }}?

Question: Who or what is ""{{ span2_text.lower() }}""? Is it {{ span1_text }}?

Answer:",promptsource,English,reading comprehension,Informational/Identification,reading comprehension,all
reversed appropriate continuation,Sentence continuation,"Consider the sentence: {{ sent2 }} {{ [ending0, ending1, ending2, ending3][instance] }}
Is it an appropriate continuation of the following situation:
{{ sent1 }} ?
Yes or No?",promptsource,English,closed-ended question,Informational/Identification,story continuation,all
appropriate continuation,Sentence continuation,"Consider the sentence: {{ sent1 }}
Is the following an appropriate continuation?
{{ sent2 }} {{ [ending0, ending1, ending2, ending3][instance] }}
Yes or No?",promptsource,English,closed-ended question,Informational/Identification,sentence continuation,all
how ends,Text completion,"{{ startphrase }}...
How does the description likely end?
(a): {{ ending0 }}
(b): {{ ending1 }}
(c): {{ ending2 }}
(d): {{ ending3 }}",promptsource,English,multiple choice,Writing/Expression,story ending,all
first then,Complete a sentence,"First, {{ sent1.lower() }} Then, {{ sent2.lower() }}...
Complete with an appropriate ending:
(a) {{ ending0 }}
(b) {{ ending1 }}
(c) {{ ending2 }}
(d) {{ ending3 }}",promptsource,English,multiple choice,Writing/Expression,story ending,all
first then key,Sentence completion,"First, {{ sent1.lower() }} Then, {{ sent2.lower() }}...
Choose the key with an appropriate ending:
(a) {{ ending0 }}
(b) {{ ending1 }}
(c) {{ ending2 }}
(d) {{ ending3 }}",promptsource,English,multiple choice,Writing/Expression,story ending,all
generate start,Generate a sentence,Generate the starting sentence with the ending: {{endings[label]}},promptsource,English,writing report,Writing/Expression,text generation,all
open completion,Complete the sentence,Complete the sentence: {{ sent1 }} {{sent2}},promptsource,English,sentence completion,Writing/Expression,sentence completion,all
tab fact table caption,Table caption,"Passage: ""{{statement}}""

Table: ""{{table_text}}""

Note: {{""#""}} is the delimiter between columns; {{""\\n""}} is the delimiter between rows.

Give a suitable caption for the table.",promptsource,English,writing report,Writing/Expression,table,all
parse table,Parse a table,"Parse the following table:

Table Caption: ""{{table_caption}}""

Table:

{{table_text}}

Note: {{""#""}} is the delimiter between columns; {{""\n""}} is the delimiter between rows.

From the above table, the statement ""{{statement}}"" can either be {{""entailed""}} or {{""refuted""}}. Which one is it?",promptsource,English,reading comprehension,Informational/Identification,table parsing,all
tab fact express,Table to English,"Describe a piece of information or conclusion obtained from the following table in plain English:

""{{table_caption}}""

""{{table_text}}""

Note: {{""#""}} is the delimiter between columns; {{""\n""}} is the delimiter between rows.",promptsource,English,reading comprehension,Writing/Expression,data analysis,all
tab fact corroborated,Table corroboration,"Is ""{{statement}}"" corroborated by ""{{table_caption}}""
with the following table:
{{table_text}}""?

Note: {{""#""}} is the delimiter between columns; {{""\n""}} is the delimiter between rows.",promptsource,English,reading comprehension,Informational/Identification,reading comprehension,all
tab fact evidence,Find evidence in table,"I have the following paragraph: ""{{statement}}"". Is there any evidence of this passage in the data below?

Topic: ""{{table_caption}}""

{{table_text}}

Note: {{""#""}} is the delimiter between columns; {{""\\n""}} is the delimiter between rows.",promptsource,English,reading comprehension,Informational/Identification,reading comprehension,all
fluency,Naturalness of sentences,"Supposedly Sentence B is more natural than Sentence A. How much better is it on a scale from 1 to 4?

Sentence A: {{source}}

Sentence B: {{output}}",promptsource,English,rating,Evaluation/Comparison,fluency,all
grammar,Grammar improvement,"Sentence B is grammatically better than Sentence A. How much better is it on a scale from 0 to 4?

Sentence A: {{source}}

Sentence B: {{output}}",promptsource,English,grammaticality judgement,Evaluation/Comparison,grammar,all
correct sentence,Grammar improvement,"Grammatically improve the below text. Note that the original meaning has to be preserved and also it should sound natural.

Text: {{source}}",promptsource,English,grammatical improvement,Writing/Expression,grammar,all
meaning,Rewrite quality,"Sentence A was rewritten into Sentence B. Would you say that the original meaning is well preserved? Please rate it on a scale from 0 to 4.

Sentence A: {{source}}

Sentence B: {{output}}",promptsource,English,rating,Evaluation/Assessment,paraphrasing,all
grammar fluency meaning,Rate the improvement,"Read the below two sentences and answer the question.

Sentence A: {{source}}

Sentence B: {{output}}

Question: Sentence B is an improved version of Sentence A. How would you rate the improvement on a scale from 0 to 4, with respect to grammaticality,  fluency, and meaning preservation, respectively? Please give an answer with three numbers separated by commas.",promptsource,English,rating,Evaluation/Assessment,grammaticality,all
choose better,Rewrite a sentence,"Which one of the following two sentences is written better? Your answer should be either ""Sentence A"" or ""Sentence B"".

Sentence A: {{source}}

Sentence B: {{output}}",promptsource,English,sentence rewriting,Writing/Expression,writing,writing
what category best describe,Categorize text,"Categories: {{', '.join(answer_choices)}}

What category best describes: {{text}}
Answer:",promptsource,English,categorization,Informational/Identification,categorization,all
fine grained LOC,Question classification,"Is this question asking for {{', '.join(answer_choices)}}?
{{text}}",promptsource,English,closed-ended question,Informational/Identification,yes/no,all
pick the best descriptor,Descriptor selection,"Question: {{text}}

Descriptors: {{', '.join(answer_choices)}}

Best Descriptor?",promptsource,English,closed-ended question,Informational/Identification,multiple choice,all
which category best describes,Question categorization,"Which category best describes the following question: {{text}}

Choose from the following list:
{{', '.join(answer_choices)}}",promptsource,English,closed-ended question,Informational/Identification,classification,all
trec1,Question classification,"{{text}}

Is this asking about {{(', ').join(answer_choices)}}?",promptsource,English,closed-ended question,Informational/Identification,multiple choice,all
fine grained ABBR,Question classification,"Is this question asking for an {{', '.join(answer_choices)}}?
{{text}}",promptsource,English,closed-ended question,Informational/Identification,yes/no,all
fine grained ABBR context first,Question classification,"{{text}}

Is this question asking for an {{', '.join(answer_choices)}}?",promptsource,English,closed-ended question,Informational/Identification,question classification,all
trec2,Question classification,"Is the following question asking about {{', '.join(answer_choices)}}?

{{text}}",promptsource,English,closed-ended question,Informational/Identification,question classification,all
fine grained open,What is this question asking for,"What is this question asking for?

{{text}}",promptsource,English,reading comprehension,Informational/Identification,question classification,all
fine grained HUM context first,Question classification,"{{text}}

Is this question asking for {{', '.join(answer_choices)}}?",promptsource,English,closed-ended question,Informational/Identification,multiple choice,all
formal description,QA translate,"The goal is to predict an English answer string for an input English question.
Question : {{question}}
Answer :",promptsource,English,reading comprehension,Writing/Expression,reading comprehension,all
emoji,Emoji sentiment,"Which emoji best describes the sentiment of the following tweet?

{{text}}",promptsource,English,emoji sentiment,Informational/Identification,sentiment analysis,social media
emotion with option,Categorize tweet,"{{text}}

Categorize the tweet into one of the following options:
(a) {{answer_choices[0]}}
(b) {{answer_choices[1]}}
(c) {{answer_choices[2]}}
(d) {{answer_choices[3]}}",promptsource,English,multiple choice,Informational/Identification,sentiment analysis,all
author hate,Hate speech detection,"Does this tweet convey the author's hatred towards something or someone?

{{text}}",promptsource,English,closed-ended question,Informational/Identification,hate speech,social media
hate no yes,Hate speech detection,"Does this tweet convey hate: yes or no?

{{text}}",promptsource,English,closed-ended question,Informational/Identification,hate speech,social media
hate question,Hate speech detection,"Is this a hateful tweet?
{{text}}",promptsource,English,closed-ended question,Informational/Identification,hate speech,social media
hate options,Hate speech detection,"Does this tweet convey {{""hate""}} or {{""non-hate""}}?

{{text}}",promptsource,English,closed-ended question,Informational/Identification,hate speech,social media
hate exam,Hate speech detection,"In this test, you need to answer with either yes or no.

Q: Is this a hateful tweet?
{{text}}

A:",promptsource,English,closed-ended question,Informational/Identification,hate speech,social media
irony question,Irony detection,"Is this tweet is ironic?

{{text}}",promptsource,English,closed-ended question,Informational/Identification,irony,social media
